Region ID,Region-name,Shortname,Abbrv,Category-ID,Category-Name,LeftCount,RightCount,TotalCount,Color,Normalized
1,Dorsal motor nucleus of the vagus nerve,Dorsal Mot. Nuc. Vagus,DMX,1,Solitariospinal Area,7,6,13,#FA9600,5.162827641
2,Cuneate nucleus,Cuneate nucleus,CU,1,Solitariospinal Area,0,0,0,#FA9600,0
3,Gracile nucleus,Gracile nucleus,GR,1,Solitariospinal Area,0,0,0,#FA9600,0
4,Nucleus of the solitary tract,Nuc. Solitary Tract,NST,1,Solitariospinal Area,22,0,22,#FA9600,13.91524352
5,Medulla,Medulla,MY,1,Solitariospinal Area,27,8,35,#FA9600,10.74608535
6,"Medullary reticular nucleus, ventral part","Medullary Ret. Nuc., ventral",MDRNd,2,Medullary Reticular Nuclei,27,7,34,#0000FA,2
7,"Medullary reticular nucleus, dorsal part","Medullary Ret. Nuc., dorsal",MDRNv,2,Medullary Reticular Nuclei,20,13,33,#0000FA,2
8,Magnocellular reticular nucleus,Magnocellular Ret. Nuc.,MARN,3,Magnocellular Ret. Nuc.,103,4,107,#003296,16.56859709
9,Gigantocellular reticular nucleus,Gigantocellular Ret. Nuc.,GRN,4,Gigantocellular reticular nucleus,2420,36,2456,#00FFFF,26.59879786
10,"Lateral reticular nucleus, magnocellular part","Lat. Ret. Nuc., magnocellular",LRNm,5,Lateral Reticular Nuclei,39,0,39,#0096FF,5
11,"Paragigantocellular reticular nucleus, lateral part","Paragiganto. Ret. Nuc, lateral",PGRNl,5,Lateral Reticular Nuclei,61,2,63,#0096FF,5
12,Intermediate reticular nucleus,Intermediate Ret. Nuc,IRN,5,Lateral Reticular Nuclei,1259,10,1269,#0096FF,100
13,Parvicellular reticular nucleus,Parvicellular Ret. Nuc.,PARN,5,Lateral Reticular Nuclei,0,0,0,#0096FF,0
14,"Paragigantocellular reticular nucleus, dorsal part","Paragigant. Ret. Nuc., dorsal",PGRNd,6,Dorsal Reticular Nucleus,0,0,0,#0064FF,6
15,Nucleus raphe magnus,Nucleus raphe magnus,RM,7,Raphe Nuclei,107,8,115,#00C8FF,29.12129653
16,Nucleus raphe obscurus,Nucleus raphe obscurus,RO,7,Raphe Nuclei,14,0,14,#00C8FF,18.71657754
17,Facial motor nucleus,Facial motor nucleus,VII,30,Unused,3,0,3,#808080,12.76595745
18,Hypoglossal nucleus,Hypoglossal nucleus,XII,8,Perihypoglossal Area,1,0,1,#C86400,1.39275766
19,Nucleus of Roller,Nucleus of Roller,NR,8,Perihypoglossal Area,0,0,0,#C86400,-1
20,Nucleus prepositus,Nucleus prepositus,PRP,8,Perihypoglossal Area,0,0,0,#C86400,-1
21,"Spinal nucleus of the trigeminal, interpolar part","Spinal Nuc. Trig., interpolar",SPVI,9,Medullary Trigeminal Area,0,0,0,#808080,9
22,"Spinal nucleus of the trigeminal, caudal part","Spinal Nuc. Trig., caudal",SPVC,9,Medullary Trigeminal Area,3,0,3,#808080,9
23,Spinal vestibular nucleus,Spinal vestibular nucleus,SPIV,10,Vestibular Nuclei,0,23,23,#462300,18.12450749
24,Medial vestibular nucleus,Medial vestibular nucleus,MV,10,Vestibular Nuclei,1,1,2,#462300,4.597701149
25,Lateral vestibular nucleus,Lateral vestibular nucleus,LAV,10,Vestibular Nuclei,0,1,1,#462300,-1
26,"Pontine reticular nucleus, caudal part","Pontine Ret. Nuc., caudal",PRNc,11,Pontine Reticular Nuclei,54,26,80,#BEBEBE,11
27,Pontine reticular nucleus,Pontine reticular nucleus,PRNr,11,Pontine Reticular Nuclei,63,42,105,#BEBEBE,6.983704689
28,"Superior olivary complex, lateral part","Sup. olivary complex, lateral",SOCl,12,Superior Olivary Complex,3,1,4,#808080,12
29,"Superior olivary complex, medial part","Sup. olivary complex, medial",SOCm,12,Superior Olivary Complex,0,0,0,#808080,12
30,"Superior olivary complex, periolivary region","Sup. olivary, periolivary",POR,12,Superior Olivary Complex,0,0,0,#808080,12
31,Peritrigeminal zone,Peritrigeminal zone,P5,13,Pontine Trigeminal Area,3,0,3,#808080,-1
32,Supratrigeminal nucleus,Supratrigeminal nucleus,SUT,13,Pontine Trigeminal Area,0,0,0,#808080,-1
