New 2D number,Region,,Normalized,Category-Name
1,Dorsal motor nucleus of the vagus nerve,1,0,Solitariospinal Area
2,Cuneate nucleus,1,0,Solitariospinal Area
3,Gracile nucleus,1,0,Solitariospinal Area
4,Nucleus of the solitary tract,1,4.427577483,Solitariospinal Area
5,Medulla,1,11.05311636,Solitariospinal Area
6,"Medullary reticular nucleus, ventral part",2,0,Medullary Reticular Nuclei
7,"Medullary reticular nucleus, dorsal part",2,0,Medullary Reticular Nuclei
8,Magnocellular reticular nucleus,3,21.52369155,Magnocellular Ret. Nuc.
9,Gigantocellular reticular nucleus,4,6.454757134,Gigantocellular reticular nucleus
10,"Lateral reticular nucleus, magnocellular part",5,2.731307614,Lateral Reticular Nuclei
11,"Paragigantocellular reticular nucleus, lateral part",5,2.274136862,Lateral Reticular Nuclei
12,Intermediate reticular nucleus,5,0.640146319,Lateral Reticular Nuclei
13,Parvicellular reticular nucleus,5,0,Lateral Reticular Nuclei
14,"Paragigantocellular reticular nucleus, dorsal part",6,0,Dorsal Reticular Nucleus
15,Nucleus raphe magnus,7,17.97923525,Raphe Nuclei
16,Nucleus raphe obscurus,7,1.336898396,Raphe Nuclei
17,Facial motor nucleus,30,17.0212766,Unused
18,Hypoglossal nucleus,8,0,Perihypoglossal Area
19,Nucleus of Roller,8,-1,Perihypoglossal Area
20,Nucleus prepositus,8,-1,Perihypoglossal Area
21,"Spinal nucleus of the trigeminal, interpolar part",9,-1,Medullary Trigeminal Area
22,"Spinal nucleus of the trigeminal, caudal part",9,-1,Medullary Trigeminal Area
23,Spinal vestibular nucleus,10,6.304176517,Vestibular Nuclei
24,Medial vestibular nucleus,10,20.68965517,Vestibular Nuclei
25,Lateral vestibular nucleus,10,-1,Vestibular Nuclei
26,"Pontine reticular nucleus, caudal part",11,8.154943935,Pontine Reticular Nuclei
27,Pontine reticular nucleus,11,1.529763884,Pontine Reticular Nuclei
28,"Superior olivary complex, lateral part",12,0,Superior Olivary Complex
29,"Superior olivary complex, medial part",12,-1,Superior Olivary Complex
30,"Superior olivary complex, periolivary region",12,-1,Superior Olivary Complex
31,Peritrigeminal zone,13,-1,Pontine Trigeminal Area
32,Supratrigeminal nucleus,13,-1,Pontine Trigeminal Area
33,Pontine central gray,14,9.621765096,Pontine Central Gray Area
34,Sublaterodorsal nucleus,14,8.681925809,Pontine Central Gray Area
35,Laterodorsal tegmental nucleus,14,3.777657852,Pontine Central Gray Area
36,Subceruleus nucleus,14,15.8013544,Pontine Central Gray Area
37,Barrington's nucleus,14,0,Pontine Central Gray Area
38,Pons,14,11.76788854,Pontine Central Gray Area
39,Locus ceruleus,30,-1,Unused
40,Parabrachial nucleus,15,-1,Parabrachial / Pedunculopontine
41,Pedunculopontine nucleus,15,1.514004542,Parabrachial / Pedunculopontine
42,Fastigial nucleus,16,-1,Cerebellospinal Nuclei
43,Interposed nucleus,16,-1,Cerebellospinal Nuclei
44,Red nucleus,17,0.210304942,Red Nucleus
45,Edinger-Westphal nucleus,18,-1,Midbrain Midline Nuclei
46,Interstitial nucleus of Cajal,18,0,Midbrain Midline Nuclei
47,Nucleus of Darkschewitsch,18,-1,Midbrain Midline Nuclei
48,Midbrain,18,0,Midbrain Midline Nuclei
49,Midbrain reticular nucleus,19,6.782365849,Midbrain Reticular Nuclei
50,"Midbrain reticular nucleus, retrorubral area",19,2.267573696,Midbrain Reticular Nuclei
51,Periaqueductal gray,20,0,Periaqueductal Gray
52,Paraventricular hypothalamic nucleus,21,0.5192108,Hypothalamic Periventricular Zone
53,"Paraventricular hypothalamic nucleus, descending division",21,0,Hypothalamic Periventricular Zone
54,"Periventricular hypothalamic nucleus, intermediate part",21,4.524886878,Hypothalamic Periventricular Zone
55,Dorsomedial nucleus of the hypothalamus,22,0,Hypothalamic Lateral Area
56,Hypothalamus,22,0.923574232,Hypothalamic Lateral Area
57,Lateral hypothalamic area,22,0,Hypothalamic Lateral Area
58,Zona incerta,22,0,Hypothalamic Lateral Area
59,Anterior hypothalamic nucleus,23,-1,Hypothalamic Medial Area
60,Posterior hypothalamic nucleus,23,0,Hypothalamic Medial Area
61,Ventromedial hypothalamic nucleus,23,9.451795841,Hypothalamic Medial Area
62,Perireunensis nucleus,24,-1,Thalamus
63,"Subparafascicular nucleus, magnocellular part",24,-1,Thalamus
64,Thalamus,24,0,Thalamus
65,Ventral medial nucleus of the thalamus,24,-1,Thalamus
66,Nucleus of reuniens,24,3.125,Thalamus
67,"Central amygdalar nucleus, medial part",30,-1,Unused
68,Substantia innominata,30,-1,Unused
69,Corticospinal,25,3.742469789,Corticospinal
