New 2D number,Region,,Normalized,Category-Name
1,Dorsal motor nucleus of the vagus nerve,1,5.162827641,Solitariospinal Area
2,Cuneate nucleus,1,0,Solitariospinal Area
3,Gracile nucleus,1,0,Solitariospinal Area
4,Nucleus of the solitary tract,1,13.91524352,Solitariospinal Area
5,Medulla,1,10.74608535,Solitariospinal Area
6,"Medullary reticular nucleus, ventral part",2,4.06504065,Medullary Reticular Nuclei
7,"Medullary reticular nucleus, dorsal part",2,6.142963515,Medullary Reticular Nuclei
8,Magnocellular reticular nucleus,3,16.56859709,Magnocellular Ret. Nuc.
9,Gigantocellular reticular nucleus,4,26.59879786,Gigantocellular reticular nucleus
10,"Lateral reticular nucleus, magnocellular part",5,13.31512462,Lateral Reticular Nuclei
11,"Paragigantocellular reticular nucleus, lateral part",5,13.02460203,Lateral Reticular Nuclei
12,Intermediate reticular nucleus,5,100,Lateral Reticular Nuclei
13,Parvicellular reticular nucleus,5,0,Lateral Reticular Nuclei
14,"Paragigantocellular reticular nucleus, dorsal part",6,0,Dorsal Reticular Nucleus
15,Nucleus raphe magnus,7,29.12129653,Raphe Nuclei
16,Nucleus raphe obscurus,7,18.71657754,Raphe Nuclei
17,Facial motor nucleus,30,12.76595745,Unused
18,Hypoglossal nucleus,8,1.39275766,Perihypoglossal Area
19,Nucleus of Roller,8,-1,Perihypoglossal Area
20,Nucleus prepositus,8,-1,Perihypoglossal Area
21,"Spinal nucleus of the trigeminal, interpolar part",9,-1,Medullary Trigeminal Area
22,"Spinal nucleus of the trigeminal, caudal part",9,-1,Medullary Trigeminal Area
23,Spinal vestibular nucleus,10,18.12450749,Vestibular Nuclei
24,Medial vestibular nucleus,10,4.597701149,Vestibular Nuclei
25,Lateral vestibular nucleus,10,-1,Vestibular Nuclei
26,"Pontine reticular nucleus, caudal part",11,10.19367992,Pontine Reticular Nuclei
27,Pontine reticular nucleus,11,6.983704689,Pontine Reticular Nuclei
28,"Superior olivary complex, lateral part",12,17.39130435,Superior Olivary Complex
29,"Superior olivary complex, medial part",12,-1,Superior Olivary Complex
30,"Superior olivary complex, periolivary region",12,-1,Superior Olivary Complex
31,Peritrigeminal zone,13,-1,Pontine Trigeminal Area
32,Supratrigeminal nucleus,13,-1,Pontine Trigeminal Area
33,Pontine central gray,14,41.47312541,Pontine Central Gray Area
34,Sublaterodorsal nucleus,14,64.71981058,Pontine Central Gray Area
35,Laterodorsal tegmental nucleus,14,23.20561252,Pontine Central Gray Area
36,Subceruleus nucleus,14,31.6027088,Pontine Central Gray Area
37,Barrington's nucleus,14,42.58241758,Pontine Central Gray Area
38,Pons,14,26.10577573,Pontine Central Gray Area
39,Locus ceruleus,30,-1,Unused
40,Parabrachial nucleus,15,-1,Parabrachial / Pedunculopontine
41,Pedunculopontine nucleus,15,22.71006813,Parabrachial / Pedunculopontine
42,Fastigial nucleus,16,-1,Cerebellospinal Nuclei
43,Interposed nucleus,16,-1,Cerebellospinal Nuclei
44,Red nucleus,17,30.14370838,Red Nucleus
45,Edinger-Westphal nucleus,18,-1,Midbrain Midline Nuclei
46,Interstitial nucleus of Cajal,18,0,Midbrain Midline Nuclei
47,Nucleus of Darkschewitsch,18,-1,Midbrain Midline Nuclei
48,Midbrain,18,22.48394004,Midbrain Midline Nuclei
49,Midbrain reticular nucleus,19,13.36525035,Midbrain Reticular Nuclei
50,"Midbrain reticular nucleus, retrorubral area",19,6.802721088,Midbrain Reticular Nuclei
51,Periaqueductal gray,20,14.44390948,Periaqueductal Gray
52,Paraventricular hypothalamic nucleus,21,100,Hypothalamic Periventricular Zone
53,"Paraventricular hypothalamic nucleus, descending division",21,94.28830462,Hypothalamic Periventricular Zone
54,"Periventricular hypothalamic nucleus, intermediate part",21,4.524886878,Hypothalamic Periventricular Zone
55,Dorsomedial nucleus of the hypothalamus,22,18.94736842,Hypothalamic Lateral Area
56,Hypothalamus,22,59.33964442,Hypothalamic Lateral Area
57,Lateral hypothalamic area,22,69.3092808,Hypothalamic Lateral Area
58,Zona incerta,22,71.35470527,Hypothalamic Lateral Area
59,Anterior hypothalamic nucleus,23,-1,Hypothalamic Medial Area
60,Posterior hypothalamic nucleus,23,9.216589862,Hypothalamic Medial Area
61,Ventromedial hypothalamic nucleus,23,37.80718336,Hypothalamic Medial Area
62,Perireunensis nucleus,24,-1,Thalamus
63,"Subparafascicular nucleus, magnocellular part",24,-1,Thalamus
64,Thalamus,24,18.40490798,Thalamus
65,Ventral medial nucleus of the thalamus,24,-1,Thalamus
66,Nucleus of reuniens,24,0,Thalamus
67,"Central amygdalar nucleus, medial part",30,-1,Unused
68,Substantia innominata,30,-1,Unused
69,Corticospinal,25,2.595583886,Corticospinal
