Region ID,Region-name,Shortname,Abbrv,Category-ID,Category-Name,LeftCount,RightCount,TotalCount,Color,Normalized
1,Dorsal motor nucleus of the vagus nerve,Dorsal Mot. Nuc. Vagus,DMX,1,Solitariospinal Area,83,92,175,#FA9600,59.7
2,Cuneate nucleus,Cuneate nucleus,CU,1,Solitariospinal Area,76,4,80,#FA9600,100.0
3,Gracile nucleus,Gracile nucleus,GR,1,Solitariospinal Area,0,4,4,#FA9600,0.0
4,Nucleus of the solitary tract,Nuc. Solitary Tract,NST,1,Solitariospinal Area,167,109,276,#FA9600,81.9
5,Medulla,Medulla,MY,1,Solitariospinal Area,180,248,428,#FA9600,59.0
6,"Medullary reticular nucleus, ventral part","Medullary Ret. Nuc., ventral",MDRNd,2,Medullary Reticular Nuclei,167,204,371,#0000FA,2
7,"Medullary reticular nucleus, dorsal part","Medullary Ret. Nuc., dorsal",MDRNv,2,Medullary Reticular Nuclei,460,328,788,#0000FA,2
8,Magnocellular reticular nucleus,Magnocellular Ret. Nuc.,MARN,3,Magnocellular Ret. Nuc.,409,288,697,#003296,34.4
9,Gigantocellular reticular nucleus,Gigantocellular Ret. Nuc.,GRN,4,Gigantocellular reticular nucleus,7307,5896,13203,#00FFFF,74.5
10,"Lateral reticular nucleus, magnocellular part","Lat. Ret. Nuc., magnocellular",LRNm,5,Lateral Reticular Nuclei,25,11,36,#0096FF,5
11,"Paragigantocellular reticular nucleus, lateral part","Paragiganto. Ret. Nuc, lateral",PGRNl,5,Lateral Reticular Nuclei,34,69,103,#0096FF,5
12,Intermediate reticular nucleus,Intermediate Ret. Nuc,IRN,5,Lateral Reticular Nuclei,1156,1464,2620,#0096FF,92.4
13,Parvicellular reticular nucleus,Parvicellular Ret. Nuc.,PARN,5,Lateral Reticular Nuclei,294,354,648,#0096FF,96.7
14,"Paragigantocellular reticular nucleus, dorsal part","Paragigant. Ret. Nuc., dorsal",PGRNd,6,Dorsal Reticular Nucleus,199,238,437,#0064FF,6
15,Nucleus raphe magnus,Nucleus raphe magnus,RM,7,Raphe Nuclei,95,193,288,#00C8FF,34.4
16,Nucleus raphe obscurus,Nucleus raphe obscurus,RO,7,Raphe Nuclei,9,4,13,#00C8FF,36.1
17,Facial motor nucleus,Facial motor nucleus,VII,30,Unused,27,38,65,#808080,61.3
18,Hypoglossal nucleus,Hypoglossal nucleus,XII,8,Perihypoglossal Area,25,59,84,#C86400,77.8
19,Nucleus of Roller,Nucleus of Roller,NR,8,Perihypoglossal Area,12,18,30,#C86400,96.8
20,Nucleus prepositus,Nucleus prepositus,PRP,8,Perihypoglossal Area,18,67,85,#C86400,100.0
21,"Spinal nucleus of the trigeminal, interpolar part","Spinal Nuc. Trig., interpolar",SPVI,9,Medullary Trigeminal Area,92,89,181,#808080,9
22,"Spinal nucleus of the trigeminal, caudal part","Spinal Nuc. Trig., caudal",SPVC,9,Medullary Trigeminal Area,67,44,111,#808080,9
23,Spinal vestibular nucleus,Spinal vestibular nucleus,SPIV,10,Vestibular Nuclei,252,269,521,#462300,77.8
24,Medial vestibular nucleus,Medial vestibular nucleus,MV,10,Vestibular Nuclei,796,979,1775,#462300,95.4
25,Lateral vestibular nucleus,Lateral vestibular nucleus,LAV,10,Vestibular Nuclei,233,109,342,#462300,86.1
26,"Pontine reticular nucleus, caudal part","Pontine Ret. Nuc., caudal",PRNc,11,Pontine Reticular Nuclei,866,1099,1965,#BEBEBE,11
27,Pontine reticular nucleus,Pontine reticular nucleus,PRNr,11,Pontine Reticular Nuclei,1122,1507,2629,#BEBEBE,63.5
28,"Superior olivary complex, lateral part","Sup. olivary complex, lateral",SOCl,12,Superior Olivary Complex,19,20,39,#808080,12
