New 2D number,Region,,Normalized,Category-Name
1,Dorsal motor nucleus of the vagus nerve,1,0.794281176,Solitariospinal Area
2,Cuneate nucleus,1,100,Solitariospinal Area
3,Gracile nucleus,1,37.68115942,Solitariospinal Area
4,Nucleus of the solitary tract,1,100,Solitariospinal Area
5,Medulla,1,100,Solitariospinal Area
6,"Medullary reticular nucleus, ventral part",2,100,Medullary Reticular Nuclei
7,"Medullary reticular nucleus, dorsal part",2,49.51600894,Medullary Reticular Nuclei
8,Magnocellular reticular nucleus,3,100,Magnocellular Ret. Nuc.
9,Gigantocellular reticular nucleus,4,77.16467212,Gigantocellular reticular nucleus
10,"Lateral reticular nucleus, magnocellular part",5,100,Lateral Reticular Nuclei
11,"Paragigantocellular reticular nucleus, lateral part",5,59.1275584,Lateral Reticular Nuclei
12,Intermediate reticular nucleus,5,34.01920439,Lateral Reticular Nuclei
13,Parvicellular reticular nucleus,5,21.64502165,Lateral Reticular Nuclei
14,"Paragigantocellular reticular nucleus, dorsal part",6,47.75280899,Dorsal Reticular Nucleus
15,Nucleus raphe magnus,7,81.53963029,Raphe Nuclei
16,Nucleus raphe obscurus,7,76.20320856,Raphe Nuclei
17,Facial motor nucleus,30,51.06382979,Unused
18,Hypoglossal nucleus,8,80.77994429,Perihypoglossal Area
19,Nucleus of Roller,8,-1,Perihypoglossal Area
20,Nucleus prepositus,8,-1,Perihypoglossal Area
21,"Spinal nucleus of the trigeminal, interpolar part",9,-1,Medullary Trigeminal Area
22,"Spinal nucleus of the trigeminal, caudal part",9,-1,Medullary Trigeminal Area
23,Spinal vestibular nucleus,10,70.13396375,Vestibular Nuclei
24,Medial vestibular nucleus,10,66.66666667,Vestibular Nuclei
25,Lateral vestibular nucleus,10,-1,Vestibular Nuclei
26,"Pontine reticular nucleus, caudal part",11,100,Pontine Reticular Nuclei
27,Pontine reticular nucleus,11,75.88959095,Pontine Reticular Nuclei
28,"Superior olivary complex, lateral part",12,69.56521739,Superior Olivary Complex
29,"Superior olivary complex, medial part",12,-1,Superior Olivary Complex
30,"Superior olivary complex, periolivary region",12,-1,Superior Olivary Complex
31,Peritrigeminal zone,13,-1,Pontine Trigeminal Area
32,Supratrigeminal nucleus,13,-1,Pontine Trigeminal Area
33,Pontine central gray,14,90.57730591,Pontine Central Gray Area
34,Sublaterodorsal nucleus,14,93.13338595,Pontine Central Gray Area
35,Laterodorsal tegmental nucleus,14,72.3151646,Pontine Central Gray Area
36,Subceruleus nucleus,14,81.26410835,Pontine Central Gray Area
37,Barrington's nucleus,14,83.79120879,Pontine Central Gray Area
38,Pons,14,100,Pontine Central Gray Area
39,Locus ceruleus,30,-1,Unused
40,Parabrachial nucleus,15,-1,Parabrachial / Pedunculopontine
41,Pedunculopontine nucleus,15,84.02725208,Parabrachial / Pedunculopontine
42,Fastigial nucleus,16,-1,Cerebellospinal Nuclei
43,Interposed nucleus,16,-1,Cerebellospinal Nuclei
44,Red nucleus,17,100,Red Nucleus
45,Edinger-Westphal nucleus,18,-1,Midbrain Midline Nuclei
46,Interstitial nucleus of Cajal,18,30.70175439,Midbrain Midline Nuclei
47,Nucleus of Darkschewitsch,18,-1,Midbrain Midline Nuclei
48,Midbrain,18,67.45182013,Midbrain Midline Nuclei
49,Midbrain reticular nucleus,19,75.60343108,Midbrain Reticular Nuclei
50,"Midbrain reticular nucleus, retrorubral area",19,77.09750567,Midbrain Reticular Nuclei
51,Periaqueductal gray,20,52.47953779,Periaqueductal Gray
52,Paraventricular hypothalamic nucleus,21,100,Hypothalamic Periventricular Zone
53,"Paraventricular hypothalamic nucleus, descending division",21,34.90480508,Hypothalamic Periventricular Zone
54,"Periventricular hypothalamic nucleus, intermediate part",21,4.524886878,Hypothalamic Periventricular Zone
55,Dorsomedial nucleus of the hypothalamus,22,28.42105263,Hypothalamic Lateral Area
56,Hypothalamus,22,54.95266682,Hypothalamic Lateral Area
57,Lateral hypothalamic area,22,89.24756705,Hypothalamic Lateral Area
58,Zona incerta,22,98.24198552,Hypothalamic Lateral Area
59,Anterior hypothalamic nucleus,23,-1,Hypothalamic Medial Area
60,Posterior hypothalamic nucleus,23,32.25806452,Hypothalamic Medial Area
61,Ventromedial hypothalamic nucleus,23,45.36862004,Hypothalamic Medial Area
62,Perireunensis nucleus,24,-1,Thalamus
63,"Subparafascicular nucleus, magnocellular part",24,-1,Thalamus
64,Thalamus,24,39.87730061,Thalamus
65,Ventral medial nucleus of the thalamus,24,-1,Thalamus
66,Nucleus of reuniens,24,3.125,Thalamus
67,"Central amygdalar nucleus, medial part",30,-1,Unused
68,Substantia innominata,30,-1,Unused
69,Corticospinal,25,48.55552739,Corticospinal
